New game started at 01/26/2021 21:20:04
white pawn moved from D7 to D5
black pawn moved from E2 to E4
white pawn moved from D5 to E4
black pawn moved from D2 to D4
white pawn moved from E7 to E5
black pawn moved from D4 to E5
white queen moved from D8 to F6
black pawn moved from E5 to E6
white queen moved from F6 to F5
black pawn moved from H2 to H4
white pawn moved from H7 to H5
black rook moved from H1 to H2
white rook moved from H8 to H6
black rook moved from H2 to H1
white queen moved from F5 to F4
black rook moved from H1 to H2
white rook moved from H6 to F6
black rook moved from H2 to H1
white pawn moved from F7 to E6
black rook moved from H1 to H2
white queen moved from F4 to F2
CHECKMATE, WHITE WINS!!!


